text,present,missing
"
We will see if u keep this posted. HellMD. Oops i mean helloMD. Took my money out my account on 3/30/18. They thank me f",0,1
" Yes Iam still seeing my psychiatrist.

I already Won.😌  Suspence Out.
And remember Kids.  Nothing beats a failure but ah Try....🎈🇺🇸",0,1
iously cared about me as a patient. I felt like they also cared about my time. I would recommend them with no reservations to friends.,1,0
The doctor obviously cared about me as a patient. I felt like they also cared about my time,0,1
I found it very easy and would refer you to my friends,1,0
 Already referred a friend.,1,0
 DO NOT RECOMMEND!,0,1
Will recommend to everyon,1,0
! i recommend this for all future renewals. And i will recommend this to all other patients in need! Thanks!,1,0
 Would recommend to anyone!,1,0
 I will definitely be using Hello MD in the future!,0,1
"I loved my doctor, Lewchalermwong, she is caring and efficient.  Already referr",0,1
I was referred by my girlfrien,1,0
 Will be referring all of my friends.,1,0
 Easy to use site.,0,1
 My Dr was very knowledgeable and ready to answer all my questions! I will definitely be using Hello MD in the future!,0,1
 He totally disregards what you have to say and makes up his own tall tale. I would never recommend this service to anyone. UNPROFESSIONAL.,0,1
Worst experience of my life Doctor refused to listen kept saying I was calling for insomnia when I wasn't,0,1
Great honest peopl,0,1
 I am referring them to a friend as I write this.,1,0
Great easy access to a a medical recommendation,0,1
"These people are excellent, They know exactly what they are doing",0,1
" I will and have recommended them to everyone.

Great job.",1,0
 recommend and use this service again!,1,0
 I would recommend anyone getting a recommendation to use this place 1st.,1,0
 Will recommend and definitely use again.,1,0
I highly recommend this site do anyone need ,1,0
 I 100% recommend them for new patients or for renewal.   xoxo A+++,1,0
 I would recommend this service to anyone seeking certification for MM use.,1,0
 I have recommended HelloMD to both friends and family!,1,0
 I have already recommended the site to my brother-in-law. he called this morning and said he is now signed up also. The staff of Hello Md is great. The doctor was very professional. This is definite,1,0
 Will recommend to all.,1,0
 I would highly recommend.,1,0
 All in all and excellent experience and I have recommended multiple friends since!,1,0
 I will definitely use HelloMD again.,0,1
 I would definitely recommend HelloMD and use them again.,1,0
 I will recommend this campany to anyone,1,0
 Thanks,0,1
 I woud not hesitate to recommend Quicken to anyone wanting to refinace Thank you again Quicken.,1,0
 I recommend Villa Miri to stay for holydays.,1,0
This is my 3rd time buying glasses from Firmoo and I would absolutely recommend them,1,0
I will recommend this site to my friends and family,1,0
 We wouldn’t hesitate to promote to friends and family. First class service.,1,0
 I would recommend her to others,1,0
" The quality of the cartridges is very, very good! They also have THE BEST customer service!",0,1
Ink farm is so easy to order from and they have a huge variety,0,1
 Thanks carhop I really do appreciate what you have done for me. T,0,1
 I would not recommend Sprint to anybody.,0,1
" Therefore,  I highly recommend this website to people who are looking for cute clothes and korean fashion.",1,0
" Will never recommend it to anyone.

Basically it booked 3 tickets from different airline for my trip which is pretty good. But there is not enough in",0,1
 Thanks,0,1
 I would never recommend this service to anyone. UNPROFESSIONAL.,0,1
