text,present,missing
"Easy checkout, fast shipping",1,0
Check out Zazzle!  You'll love their products,0,1
" The checkout process is easy, and quick. Pages load very quickly, and all previous order info is easily logged for you in your account info in case you need to refer back to a previous order to see what it was",1,0
The website is easy to navigat,0,1
" Pages load very quickly, and all previous order info is easily logged for you in your account info in case you need to refer back to a previous order to see what it was you had ordered, quantity, size, color, etc., etc.. ",0,1
" Detailed photos and descriptions of each item doesn't leave you with any unanswered questions. The checkout process is easy, and quick. Pages load very quickly, and all previous or",0,1
"-checkout all the fonts,sizes etc.Select what you want and submit it",0,1
.Select what you want and submit it. In a couple of days you will receive your ideas in color.,0,1
 In a couple of days you will receive your ideas in color.,0,1
" The checkout process was quick as well as the deleivery. Great product and easy to apply!
",1,0
" The checkout process was quick as well as the deleivery. Great product and easy to apply!
",1,0
" I was able to checkout and get out.
",1,0
The website is simple and clean,0,1
" Great prices and easy checkout as well. Will use.Urban Girl again.
",1,0
" easy checkout as well. Will use.Urban Girl again.
",1,0
The product availability is awesome and the service is prompt,0,1
"I was pretty pleased with the website but because I looked at a couple different envelopes, I ended up ordering the wrong on",0,1
" A picture at checkout may have helped. Shipping cost was crazy price but order arrived quickly.
",1,0
Easy checkou,1,0
There were no problems with the ordering proces,1,0
I truly enjoyed the experience of being able to select my ball dress on PromGirl,0,1
 The filters provided in the app made it so much easier for me to select the styles I wanted and for the budget I had. The only issue I had was with the tax. Since I do not live in the United States ,0,1
" it would be much better if I knew how much tax I need to pay during the checkout. I had a shock when I saw the customs taxes and the handling of the dress needed for the dress. I would suggest for international delivery to include taxes before the final checkout.
",1,0
" I would suggest for international delivery to include taxes before the final checkout.
",1,0
The merchandise is of great quality,0,1
" Definitely shopping there again.
",0,1
 The website is simple and quick with checkout. Shipment is fast and accurate. the ,1,0
 quick with checkout. Shipment is fast and accurate. the product is exactly what y,1,0
 when I paid the full price the payment went right through. The only reason that I paid the full price was I didn`t have a choice and I really,1,0
" when I paid for it. Trust me if it had been there I would not have purchased it from this company or would I have paid to expedite shipping!
",1,0
 there was a 7 day delay on the product and that it was there when I paid for it. Trust me if it had been there I would not have purchased it from this company or would I have paid,1,0
Check out Zazzle,0,1
" It was being sent UPS, obviously at their lowest cost when I paid for expedited shipping, and it took two weeks to make it to my city in FL.  THEN, when it did make it to my neighborhood, they passed the final delivery on to USPS on a FRIDAY m",0,1
I ordered the product paid for 3 day deliver,1,0
Be very careful to do simple math before you check out,1,0
" Problem is once I reached the check out stage I realize that  in most cases they were only giving me about 15% to 20% off. When I emailed the company about this, they emailed me back stating they wer",1,0
" This company is a sham and a joke! Don't waster your money!!
",0,1
" Don't waster your money!!
",0,1
This weekend I spent an hour or so trying to create a special ornament for my grandson--couldn't negotiate the system,0,1
"! Today, (Monday), I called Zazzle for help and fortunately for me, Ljiljana answered my call after about a half hour wait.  She spent the next one hour and a half helping me accomplish my desired design and wording.  Then, after finalizing",0,1
"  You'll love their products!
",0,1
All on-line vendors allow you to check-out as a guest instead of creating an account,1,0
"!  IT WILL GO RIGHT TO SPAM.
",0,1
".  I suggest you allow the guest check-out for future customers.  AND,  I DO NOT WANT ANY E-MAILS TELLING ME OF YOUR SPECIALS!!!!!!!!!  IT WILL GO RIGHT TO SPAM.
",1,0
".   It took more of my busy time to create an account instead of being allowed to check out as a guest.  I suggest you allow the guest check-out for future customers.  AND,  I DO NOT WANT ANY E-MAILS TELLING ME OF YOUR SPECIALS!!!!!!!!!  IT WILL GO RIGHT TO SPAM.
",1,0
". I'm extremely disappointed in the order I received. I will not be purchasing from this company again.
",0,1
". When I emailed customer service ""Britney"" replied but was not willing to correct the issue at all. I'm extremely disappointed in the order I received. I will not be purchasing from this company again.
",0,1
". I will not be purchasing from this company again.
",0,1
".com
",0,1
. The cost is affordable and there are no hidden fees upon check out. You will be hard pressed to find a c,1,0
. The cost is affordable and there are no hidden fees upon purchase. You will be hard pressed to find a c,1,0
. The cost is affordable and there are no hidden fees when you buy. You will be hard pressed to find a c,1,0
. The cost is affordable and there are no hidden fees when you pay. You will be hard pressed to find a c,1,0
".  I highly recommend you check out this company for large scale print work!!
",0,1
"  I highly recommend you check out this company for large scale print work!!
",0,1
 and the check out process was very quick.  The turn around time on recieving my document was quick and the format of the document was good.  I love that they identify the time in the audio where voices become inaudi,1,0
"I was a little hesitant at first to use an online service, but the website is very user friendly, you are allowed to upload very big files (since I'm not a computer genious), and the check out process was very quick",1,0
