text,present,missing
The search box never showed up,1,0
 find what I wan,1,0
I can never find what I want in the app,1,0
 finding herself among the aisles and streets.,0,1
"She spent a long time away, finding herself among the aisles and streets",0,1
The search function stopped working,1,0
Soul searchin,0,1
Soul searching can help one find confident direction in life,0,1
Search your sou,0,1
Search your soul - you know it to be true,0,1
When ever I input my search I don't get any results,1,0
"I'm looking for a nice, simple backpack.  Nothing slouchy, and not many pockets - but enough to travel with for a few day",0,1
"I'm looking for a nice, simple backpack",0,1
"  Nothing slouchy, and not many pockets - but enough to travel with for a few days.",0,1
What're ya selling,0,1
There are time's I look out at the green pastures and wonder..,0,1
 search bar.,1,0
 search bar.,1,0
 the last version broke the search bar.,1,0
What did you do,0,1
What is it that I'm looking for,0,1
I was searching for a son,1,0
"I was searching for a song, then the app crashe",1,0
I click searc,1,0
"I click search, but it takes so long",1,0
The app never finds what I'm looking fo,1,0
 auto complete st,1,0
 stopped working,0,1
Why doesn't it autocomplete,1,0
It was exciting to complete the game,0,1
I put the camera on auto mode to make sure I didn't miss any shots,0,1
"It usually takes a few searches to get there, but it gets it eventually",1,0
I'm riding the train to Shibuya,0,1
"There are multiple options available, I'm not sure which to choose",0,1
"I would really like a day, nay a week, with just Coco Puffs, Captain Crunch, and Cinnamon Toast Crunch",0,1
OMG it's my fucking nightmare my kitchen is covered in spiders I want to die,0,1
"TFW you realize #VisiData can handle 1000s of columns and sheets and lets you sort them and select them and bulk edit their names, widths, etc with the same commands that work everywhere else. Metadata is data",0,1
Remember when websites had 'hit counters' to show users what number visitor they were. I'd to see a site take that concept and use it in a fun modern way,0,1
"If it’s painful, vote and voice your pain. It won’t be redressed otherwise. By default, vote for women of color or any part thereof. They understand",0,1
I love overhearing dog owners talking to their dog,0,1
"
eg, I was petting this dog who seemed happy but then suddenly growled at me, so I left

As I turned the corner I could hear his owner sayi",0,1
"
As I turned the corner I could hear his owner saying to him reproachfully, ""You always do this, Oscar, you drive away all your friends""",0,1
Literally ONE person tweeted about JM,0,1
 So can some of you stfu and report/block them instead of tweeting his name uncensored with the search word and making it worse,0,1
The search results aren't grea,1,0
I can always find the songs I'm looking fo,1,0
Really expecting better search hit,1,0
The in app search could really use some wor,1,0
The app crashed a lo,0,1
Searching for songs in the app is fas,1,0
"I'm really, really excited about this burrito",0,1
@British_Airways App will not issue boarding passes for flight from Pisa to LGW tomorrow says my docs are invalid for this flight - help,0,1
@AmazonHelp How can we find out when @AmazonVideo gets new videos added,0,1
". Hook it up for the return flight?
",0,1
". I need suggestions
",0,1
@British_Airways I m trying to change date Flight from NY but the site doesn t work since this morning,0,1
@Dropbox Why does the app keep crashing when I try to export a file,0,1
". Tap the App Store > Updates. Install any there. Let us know the result.
",0,1
". I've reinstalled the app over and over but nothing happens
",0,1
"? Which delivery option did you choose? ^TP
",0,1
@AusBT @RunwayGirl @silkair @ChangiAirport @Boeing @British_Airways could learn a thing or two from this,0,1
"@SpotifyStatus Everytime I click a song on the web player, it plays a different song than the one I selected",0,1
". Need to try and track, can you help? Cheers
",0,1
". WHY @GetSpectrum
",0,1
".  Re-download  every day?
",0,1
"@SpotifyCares Well, I found the correct song on a different album but that doesn't change the fact this album is missing",1,0
"@BrazenArtemis Go to Browse > Movies and check out the genres/categories listed there, or try Browse > Genres > (Insert Genre) > Popular Movies",0,1
"? Don’t feel it’s necessary 2 tip or rate the drivers that make U $$?
",0,1
"@sainsburys Hi Lauren, yes it does say it can be used on both but every code I can find won't work",0,1
"@nationalrailenq hi, why can’t I book any train tickets between Birmingham and London Euston for this Friday",0,1
".
Hope they find it
",0,1
! I don't want to purchase it and I didn't even want to download it! I don't understand why it installed,0,1
! I don't want to purchase it and I didn't even want to download it! I don't understand why it installed,0,1
. Not there are no drivers. It works when I'm in Amman though. Why??,0,1
.  This is my 2nd lyft ride and I feel at mercy of my drivers desire to come get me,0,1
.if you have time then check that,0,1
 It was great,0,1
? Je suis à votre service en DM.,0,1
" Otherwise, it's a great place to get good deals",0,1
".
Hope they find it",0,1
@Safaricom_Care Please check D,0,1
. there is a side zipper. i wouldn't have purchased it if i knew th,0,1
 Je suis à votre service en DM.,0,1
 Not there are no drivers. It works when I'm in Amman though. Why??,0,1
 click on anything. nothing happens.  the page goes dead.,0,1
"usually the site is fair and looks out for you, and that is better than any other sites Ive use",0,1
Very good and happ,0,1
We have been very satisfied with all of our stays except for a coupl,0,1
Good site will continue to utilize priceline thank yo,0,1
 They beat all the,0,1
Good prices get low room or gives you variety of choice,0,1
