text,present,missing
Great honest peopl,0,1
 What else could I say?? nicely done.,0,1
 Is there anything left to say,0,1
 with apparent genuine concern and without seeming superior or condescending in any way.  Nothing negative to say.,0,1
 extremely rude and unprofessional.,1,0
A bit rude and hast,1,0
The doctor was extremely rude to me,1,0
" he was polite and professional, but not haughty or condescending. he was brief and to the point, and several times asked if i understood what was happening and if i had any questions.",0,1
 HelloMD person who I first talked to was very nice and efficient. And the doctor was a dream. I am grateful that this,0,1
 He was condescending from the beginning of the consultation and continued throughout. Did not make me comfortable in the slightest to ask any sort of medical question as I just wanted the consultation to be over with as soon as ,1,0
" He was condescending from the beginning of the consultation and continued throughout. Did not make me comfortable in the slightest to ask any sort of medical question as I just wanted the consultation to be over with as soon as possible. I tried voicing my concern with a particular type of medication and he immediately got defensive saying he never once recommended I use that kind of medication and even had the audacity to tell me he’s been practicing medicine for longer than I’ve been alive. 80% of the information he gave me I already knew from basic web research, which he would have known if he had bothered to ask me any questions regarding my knowledge. This is the first negative experience I’ve ever had with a physician, to the point where I felt compelled to write a review.",1,0
" sort of medical question as I just wanted the consultation to be over with as soon as possible. I tried voicing my concern with a particular type of medication and he immediately got defensive saying he never once recommended I use that kind of medication and even had the audacity to tell me he’s been practicing medicine for longer than I’ve been alive. 80% of the information he gave me I already knew from basic web research, which he would have known if he had bothered to",1,0
"
Dr Cheryllynn Bugailiskis was short, rude and unprofessional to say the least.
Going to medical board",1,0
" Soon I stopped asking questions because his answers were extremely condescending.  I would not be willing to refer anyone after the treatment I had with this doctor.  I would have expected to be speaking with a professional, instead I spoke with an arrogant person.",1,0
 She was very caring and informative.  HelloMD makes it so easy and I love that they even give you recommendations for,0,1
" because his answers were extremely condescending.  I would not be willing to refer anyone after the treatment I had with this doctor.  I would have expected to be speaking with a professional, instead I spoke with an arrogant person.",1,0
 He was condescending throughout and I don't appreciate being told when I'm allowed to speak. I'm 64 yo and not a child!,1,0
 He was condescending throughout and I don't appreciate being told when I'm allowed to speak. I'm 64 yo and not a child!,1,0
Not knowledge and extremely rude and unprofessional,1,0
Worst experien,1,0
"At first, I expected my experience to be unprofessional but I was pleasantly surprised",0,1
ce to be unprofessional but I was pleasantly surprised! My doctor was very professional and really wanted to create the,0,1
"
Just in it for the money,
Dr Cheryllynn Bugailiskis was short, rude and unprofessional to say the least.
Going to medi",1,0
"Dr Pinto, was in my opinion unprofessional, really did not listen, sounded like he was reading from a script. I think the whole process w the doc took 2.5 mins and Im approved,  Great, Im a repeat customer, but I treat this as real medicine for real probelms I do not believe Doc Pinto really cares. Its about the money., I feel like I just went through something dirty. This is what gives the industry a bad name. But I did get my recommendatio",1,0
"
I found the doctor to be unprofessional and disrespected me as a patient by not listening or answering the questions I asked.",1,0
".

I found the doctor to be unprofessional and disrespected me as a patient by not listening or answering the questions I asked.",1,0
" I felt that the doctor had an unprofessional demeanor and did not appear to care one way or another regarding dispensing any significant advice. 

I would have appreciated a consult that would have given me additional information on choosing different forms of Medicine to treat my conditions.",1,0
". I felt that the doctor had an unprofessional demeanor and did not appear to care one way or another regarding dispensing any significant advice. 

I would have appreciated a consult that would have given me additional information on choosing different forms of Medicine to treat my conditions.",1,0
 My Dr was very knowledgeable and ready to answer all my questions! I will definitely be using Hello MD in the future!,0,1
" And would not respond to me for 4our days.  I begged them on e-mail to please call me. Or e-mail me, so i can speak to an online Doctor. They refused to call me or e-mail me.  So on 4/2/18. I wrote. Your company is treating me like a dope feen.  Why should i have to ",0,1
" Within 5ive minutes some Bart Fart oops i mean Bart smart had some gal call me, and connected me on line to some wack Doctor. His house was a mess in the back ground, kids screaming in the back ground, i could not even understand the damn questions. It added to my stress. Finally we got through the torturing conference.  Days later Crying Ryan from Hell MD. E-mailed me, and said because of my anger & complaints twards their negligence & behavior, they are gonna turn off my cannabis card. ( Cold Cancel It)
My response was "" Booo Whooo, please Mr.mann, please dont pull the plug on me.
I is sooo sorry for expressing yo fraud and yo contempt towards me. Eyezz so sorry,      
 crying Ryan & Bart Fart;  ",0,1
Worst experience of my life Doctor refused to listen kept saying I was calling for insomnia when I wasn't,1,0
"so helpful, so quick and easy - i talked to dr. olson and she was super helpful giving me specific strains and ideas to help with my migraines even telling me about a book for me to better understand what causes mine - couldn't be happier definitely recommending to friend",0,1
Was completely unsure about telemedicine to receive my medical marijuana card,0,1
 Customer service support was wonderful (Bart put up with all my questions) and my Dr was great (Tatiana! Thank you),0,1
 i felt safe in talking to her about my condition.,0,1
"You guys were great, I got stuck waiting for the Doctor around a half an hour before I msg'd your support and got almost instant feedback and assistance",0,1
Very friendly customer service from the staff and the doctor,0,1
 I am not very tech savy and they walked me through every step. Dr. Sharon Olson was very informative and professional. I de,0,1
 The consult was helpful & answered important questions.  Not so easy for someone older with fewer computer skills.,0,1
 Not so easy for someone older with fewer computer skills.,0,1
Dr. Olsen was knowledgeable and very thorough with our consultation,0,1
 And doing it from home allowed me to be more honest and comfortable in explaining my issues. She made a huge difference in my plans to move forward. Thanks very,0,1
 I felt so nervous at first but their customer service and care really shined through. Cheryllynn Bugailiskis M,0,1
 Cheryllynn Bugailiskis MD Was very knowledgeable and caring and helpful and I felt truly that she cared that I understood her recommendation. I felt that our appointment went really well. Thank you WebMD!,0,1
 People are friendly and helpful.,0,1
 She offered so much information and is sending it to me! Try this site!,0,1
Simple and professiona,0,1
 They both have wonderful bedside manners and answer any question you need to ask. When done they email you proof so you can go to the pharmacy right away if need be and will also mail you your card in the mail. The price also costs less then if you were to go to one in person to a doctor office type of setting. Thank you HelloMD!,0,1
 When done they email you proof so you can go to the pharmacy right away if need be and will also mail you your card in the mail. The price also costs less then if you were to go to one in person to a doctor office type of setting. Thank you HelloMD!,0,1
Very helpful and fast service :,0,1
Dr. Cheryl Lynn was great took a little bit to get into the Zoom button once I ask for help everything went very smoot,0,1
 I got my rec in less than an hour and didn't have to leave my couch. The price is great also. T,0,1
 Everything was seamless and I got my questions answered right away. Renewing or updating was fast and painless. Thank you for this!,0,1
quick service and very helpful and friendl,0,1
 She was very knowledgeable and professional in her discussion of an appropriate treatment for my condition. I give Dr. Olson 5 stars. The reason my review ,0,1
Was easy the  process fill the information and pay wait couple minutes to do a video call with the doctor she or he will explain you everything and they will ask you questions,0,1
 I'm not tech savvy and the person I was first connected with helped me figure it all out - no problem!!,0,1
Very professiona,0,1
They took the time to listen to my questions,0,1
HelloMD offered prompt and efficient service and I am very pleased with them,0,1
 She gave me a solid thorough and comprehensive consultation. I am very satisfied and happy with the services I ,0,1
 Kind of frustrating.,0,1
 Asked good questions,0,1
 Felt like I could ask anything. Quick and easy.,0,1
Dr B asked me specific questions about my health to understand my needs,0,1
" Dr . B patiently answered all my questions and gave me an idea of where I  could purchase what I needed
     I felt that she listened to me and she wanted to help. 
     The process was good after I got ",0,1
" My anxiety was lifted immediately about the MM route just by talking a sentence into the evaluation. A very calm, caring demeanor that put me at ease and helped me to know I am making the right choice in exploring what MM has to offer. I would",0,1
Dr. Andrew Vanderveer was great,0,1
Highest mark,0,1
"I give HelloMD and my Doctor top ratings for thoroughness, attentiveness and talking me through recommendations to provide relief",0,1
 They balm available provide terrific relief.   Kudos to HelloMD for offering such professional service.,0,1
 Kudos to HelloMD for offering such professional service.,0,1
" I've suffered miserably with arm, wrist and elbow tendonitis.  They balm available provide terrific relief.   Kudos to HelloMD for offering such professional service.",0,1
"
Doctor Cheryllynn Bugailiskis MD, came online within 10 min.  Was very nice, but professional.  addressed all my questions quickly,  provided suggestions.   We were done.   Recommendation was online and available within minutes.   

Super easy and conve",0,1
Detailed pain management,0,1
 Waited maybe 15-20 min for doc which is not bad. Highly recommend.,0,1
"Visiting the ""pot docs"" in the East Bay has been a creepy experience",0,1
I had a consultation with Dr. Vanderveer at about 11am on November 18th,0,1
I am not a weed smoker,0,1
" I basically got this to receive the CBD for sleep, inflammation and pain/neuropathy as a combination problem. The interview was very",0,1
 Her Advice was priceless,0,1
I was so grateful for the compassion and kindness everyone showed me,0,1
 #dankeschön,0,1
She shared real world expectations and made sure I understood benefit and risks,0,1
Great consultation with the doctor,0,1
 10/10 will use again.,0,1
She is the greatest doctor I've ever met,0,1
"Have tried EVERYTHING Pharmaceutical for depression, General Anxiety Disorder...even as far as self-medicating with alcohol, because pharmaceutical drugs were NOT WORKING",0,1
Amazing doctor who was very knowledgable about my rare disease and comfortin,0,1
I recently had a consultation wtih Dr. Elana Miller,0,1
The doctor reviewed my chart before  I got on the call and asked appropriate questions addressing my particular issues,0,1
 I was also fortunate he was assigned my case.,0,1
