text,present,missing
That's dope,1,0
We didn't light the fir,0,1
I wanna go to Denver just so i can get a grilled cheese from this dank ass place me and @bsteeez foun,1,0
This speedrun was recorded live at Summer Games Done Quick 201,0,1
"This speedrun was recorded live at Summer Games Done Quick 2018, a weeklong charity speedrun marathon raising money for Doctors Without Borders",0,1
" Summer Games Done Quick 2018 is just one of the many charity marathons put on by Games Done Quick. For more information on SGDQ2018, find us at: ",0,1
Yooooooooo ssg vegeta and Goku looking li,1,0
this zayn new song is lit a,1,0
We didn't light the fire - it was always burning since the world's been turning,0,1
the way her face lit up when she saw him :,0,1
Don't worry be happy drink pepsi be sex,1,0
"I'm really, really excited about this burrito",0,1
This is a random tag,0,1
The cat is sitting on the table,0,1
Not cool,0,1
Damn that was dope as hel,1,0
